file,intersection,controller_id,has_scheduled_flash,flash_on_disabled_slots_only,flash_actions,flash_day_plans,trigger_detail,error
79.xls,YVR & Lennon Ln                       BBU,79,no,no,,,,LookupError: Actions(4.5) sheet not found
8.xls,YVR @ Marchbanks-Tampico   BBU,8,no,no,,,,LookupError: Actions(4.5) sheet not found
80.xls,YVR & I-680 On-Ramp              BBU,80,no,no,,,,LookupError: Actions(4.5) sheet not found
81.xls,Geary - Canal,81,no,no,,,,LookupError: Actions(4.5) sheet not found
82.xls,Tice @ Rolling Hills,82,no,no,,,,LookupError: Actions(4.5) sheet not found
83.xls,Tice @ Rossmoor                      BBU,83,no,no,,,,LookupError: Actions(4.5) sheet not found
84.xls,Geary @ Buena Vista              BBU,84,no,no,,,,LookupError: Actions(4.5) sheet not found
85.xls,Walnut @ Blackstone,85,no,no,,,,LookupError: Actions(4.5) sheet not found
86.xls,Walnut Ave @ Wiget,86,no,no,,,,LookupError: Actions(4.5) sheet not found
87.xls,Geary @ Camino Verde          BBU,87,no,no,,,,LookupError: Actions(4.5) sheet not found
88.xls,S. Main + SB I680,88,no,no,,,,LookupError: Actions(4.5) sheet not found
89.xls,Olympic and I680,89,no,no,,,,LookupError: Actions(4.5) sheet not found
9.xls,YVR @ La Casa Via                    BBU,9,no,no,,,,LookupError: Actions(4.5) sheet not found
90.xls,Olympic @ Paulsen-SB I680 Off-ramp BBU,90,no,no,,,,LookupError: Actions(4.5) sheet not found
91.xls,Treat Blvd and Buskirk-I680,91,no,no,,,,LookupError: Actions(4.5) sheet not found
92.xls,Treat @ Oak Rd,92,no,no,,,,LookupError: Actions(4.5) sheet not found
93.xls,Treat Blvd @ Jones Rd          BBU,93,no,no,,,,LookupError: Actions(4.5) sheet not found
94.xls,Treat Blvd @ Cherry Ln,94,no,no,,,,LookupError: Actions(4.5) sheet not found
95.xls,Oak @ Jones,95,no,no,,,,LookupError: Actions(4.5) sheet not found
96.xls,Main @ Castle Hill,96,no,no,,,,LookupError: Actions(4.5) sheet not found
97.xls,Broadway @ Nordstrom            BBU,97,no,no,,,,LookupError: Actions(4.5) sheet not found
98.xls,Geary @ Pioneer                      BBU,98,no,no,,,,LookupError: Actions(4.5) sheet not found
99.xls,Civic + Brio                         BBU,99,no,no,,,,LookupError: Actions(4.5) sheet not found
